id;diplome;created
31;DEA;24/06/2016 09:20
2;Licence;10/06/2016 15:42
3;Master 2 ;13/06/2016 07:49
6;DTS;16/06/2016 14:25
5;Data Quality Assurement;16/06/2016 08:19
7;BTS;16/06/2016 14:27
8;RCC;17/06/2016 08:08
9;Formateur de base (PF/SR, DEPOCOM);17/06/2016 08:15
10;Système de Formation de Gestion;17/06/2016 08:27
11;Responsabilisation de Changement de Comportement ;17/06/2016 08:30
33;Master 1;24/06/2016 10:02
13;BEPC;17/06/2016 08:44
14;BACC serie D;17/06/2016 09:32
15;Certification en réparation en électronique ;17/06/2016 09:44
16;CEPE;17/06/2016 10:11
17;BACC + 2;17/06/2016 12:31
19;Licence en Informatique en administration système et réseaux;20/06/2016 07:37
20;Ingénieur;20/06/2016 07:53
21;Attestation en CCNA ;20/06/2016 10:58
22;Bacc serie C;20/06/2016 11:07
23;Licence en éléctronique informatique ;20/06/2016 11:13
24;CCNA;20/06/2016 11:16
25;CCNA sécurité;20/06/2016 12:01
26;Système informatique de la gestion;20/06/2016 14:31
27;Certification en maintenance informatique;23/06/2016 08:54
30;D.T.S.S;23/06/2016 15:17
34;Doctorat;24/06/2016 12:25
35;CERTIFICAT ADMINISTRATEUR RESEAU SOUS LINUX;09/11/2016 13:21
36;CERTIFICAT ADMINISTRATEUR RESEAU SOUS WINDOWS SERVEUR;09/11/2016 13:21
37;LICENCE D'INGENERIE EN PHYSIQUE DES SIGNAUX ET SYSTEMES;09/11/2016 13:21
38;DUES1 MATEHMATIQUE;09/11/2016 13:21
39;BACCALAUREAT SERIE C;09/11/2016 13:21
40;Ingénieur (en cours);05/12/2016 08:01
41;Analyse et Programmation;08/12/2016 08:26
42;Licence en Informatique;08/12/2016 08:27
43;Certificat de maintenance et dépannage Ordinateur;12/12/2016 08:04
44;certificat PAO;12/12/2016 08:04
45;certificat Développeur Web;12/12/2016 08:04
46;Licence en Informatique Statistique Appliquée et Intelligence Artificielle;12/12/2016 12:59
47;Formation professionnelle en Informatique Statistique Appliquée;12/12/2016 12:59
48;Baccalauréat série D;12/12/2016 12:59
49;Licence en Informatique Statique Appliquée et Intelligence Artificielle;12/12/2016 15:09
50;Préparation Certificat CISCO CCNA;14/12/2016 09:01
51;Formation spécialisée en base de données et réseaux ;14/12/2016 09:01
52;Licence en réseaux et maintenance des systèmes informatiques;14/12/2016 09:01
53;Baccalauréat;14/12/2016 09:01
54;Master 1( cours à distance);14/12/2016 10:24
55;Licence en Marketing et commerce;14/12/2016 12:48
56;Gestion;14/12/2016 12:48
57;Baccalauréat A2;14/12/2016 12:48
58;xxxxxxxxxxxxxxxxxxx;14/12/2016 13:58
59;Licence en Marketing international et Commerce extérieur;20/12/2016 17:39
60;DTS en Marketing et Commerce;20/12/2016 17:39
61;Certificat de fin d'étude en (Bureautique, programmation, Analyste programmeur, Hardware);03/01/2017 12:55
62;Bacc +2;05/01/2017 14:03
63;LICENCE EN INFORMATIQUE EN  ADMINISTRATION SYSTEME ET RESEAUX;08/01/2017 06:21
64;CERIFICAT;10/01/2017 14:33
65;DTS en Electromécanique;10/01/2017 14:43
66;DTSS en Energies Renouvelables;10/01/2017 14:43
67;Ingénieur en Nouvelles Technologies de l'Electricité;10/01/2017 16:37
68;licence en programmation informatique et gestion;11/01/2017 12:37
69;Bacc + 2 en Informatique de gestion commercialisée;11/01/2017 12:44
70;First certificat in English;11/01/2017 13:10
71;Bacc en électrochnique Insdustrielle;11/01/2017 13:10
72;Bacc + 4 en Mécanique Industrielle;11/01/2017 16:32
73;BAC + 2 n Gestion et comptabilité;12/01/2017 09:30
74;CEPE/ BEPC ET BACC SERIE D;12/01/2017 13:46
75;Licence en Informatique développment (en cours);12/01/2017 14:15
76;Certificat de fin d'étude en (Bureautique);13/01/2017 09:11
77;BACC serie A2;17/01/2017 09:53
78;Licence en économie;18/01/2017 16:03
79;BEPC niv terminal;18/01/2017 17:13
80;Gestion des RH et Administration du personnel;18/01/2017 17:22
81;Management et Leadership;18/01/2017 17:22
82;Droit et législations du travail;18/01/2017 17:22
83;Bac série C ;18/01/2017 17:27
84;Bac série D;18/01/2017 17:27
85;Diplôme de Technicien Supérieur en Informatique de Gestion ;18/01/2017 17:27
86;Licence Professionnel en Informatique (LPI) ;18/01/2017 17:27
87;BAC;19/01/2017 11:24
88;Licence proffessionnel;19/01/2017 16:50
89;Technicien comptable avec Mention ;20/01/2017 08:25
90;Gestion Spécialiste ;20/01/2017 08:25
91;Stage de 6 mois dans l’Agence de Sécurité et de la Navigation Aérienne ;20/01/2017 08:25
92;Licence en Informatique développement Web;20/01/2017 09:04
93;Licence en Droit Privé;21/01/2017 08:19
94;DEUG en Droit;21/01/2017 08:19
95;Licence professionnelle en environnement option Conservation et valorisation de la biodiversité ;22/01/2017 09:46
96;BTS Gestion Finances;22/01/2017 10:43
97;Bacc Français;22/01/2017 10:43
98;BACC;24/01/2017 11:38
99;English First Certificate;24/01/2017 11:38
100;Ingénieur en Informatique et Telecommunication;24/01/2017 14:15
101;Ingénieur en Telecommunication;25/01/2017 06:36
102;Master 2 en Macroéconomie et Economie Publique;25/01/2017 08:57
103;Licence en Economie et Gestion;25/01/2017 08:57
104;DPAEC;25/01/2017 09:27
105;Bacc+3 en tourisme et hotellerie;25/01/2017 09:28
106;MASTER 2 EN BIOCHIMIE;25/01/2017 09:33
107;DEUG en Gestion;25/01/2017 11:36
108;Licence en socio-Environnement;26/01/2017 11:03
109;DTS en Gestion de Transport et Logistique;27/01/2017 15:34
110;Ingéniorat en Tourisme et Environnement;27/01/2017 15:34
111;Developpeur PHP et Administrateur système reseaux;30/01/2017 08:12
112;Master I (en cours);30/01/2017 08:25
113;bacc + 3 en gestion;30/01/2017 08:33
114;BACC+2;30/01/2017 12:13
115;DTS EN GESTION ET MAGNAGEMENT;01/02/2017 09:10
116;Formation professionnelle en Audio visuelle;01/02/2017 13:58
117;DST;01/02/2017 14:08
