id;post;created
5;Developpeur mobile;15/06/2016 13:46
2;Integrateur;13/06/2016 14:00
3;Commercial;13/06/2016 14:05
6;Développeur;16/06/2016 08:55
7;Directeur Informatique;16/06/2016 15:00
8;Operateur Machine;17/06/2016 08:08
9;Chef CID (Centre Informatique de District) ;17/06/2016 08:08
10;Technicien d’Appui  ;17/06/2016 08:08
11;Technicien accompagnateur  ;17/06/2016 08:08
12;Stagiaire;17/06/2016 09:32
13;Technicien Informatique;17/06/2016 09:32
14;Vendeur ;17/06/2016 10:11
15;Développeur web;17/06/2016 13:35
16;Développeur java;17/06/2016 14:39
17;Direction;20/06/2016 13:52
18;Direction de production;20/06/2016 13:58
19;Technicien;20/06/2016 14:31
20;Mécanicien;23/06/2016 07:59
21;Electronicien;23/06/2016 07:59
22;Enquêteur;23/06/2016 07:59
23;Répétiteur;23/06/2016 07:59
24;maintenance et réseau;23/06/2016 13:21
25;développeur PHP;24/06/2016 07:06
26;chef de projet;24/06/2016 12:28
27;chef de chantier;02/09/2016 07:26
28;responsable informatique;03/11/2016 08:14
29;INFORMATICIEN DE MAINTENANCE;09/11/2016 13:21
30;ADMINISTRATEUR RESEAU;09/11/2016 13:21
31;INGENIEUR FORMATEUR ET ELECTRONICIEN;05/12/2016 08:41
32;FORMATEUR;08/12/2016 08:26
33;Professeur en Maintenance et Réseau Informatiques;08/12/2016 08:26
34;Préstatire de service informatique (Sous traitance avec Sté Appolonia - Toulon, France);08/12/2016 08:26
35;Stagiaire en Administration Réseau et Sécurité;08/12/2016 08:26
36;Développeur (free-lance);08/12/2016 08:26
37;Stagiaire en Analyse et Programmation;08/12/2016 08:26
38;Opérateur de saisie;12/12/2016 08:04
39;Responsable Technique de Projet ;12/12/2016 12:59
40;Technicien de support réseau;14/12/2016 09:01
41;Chef  informatique du district;14/12/2016 09:01
42;;14/12/2016 13:57
43;Conseillère technico-commerciale;20/12/2016 17:39
44;Assistante commerciale;20/12/2016 17:39
45;Conseillère technico-commerciale Stagiaire ;23/12/2016 11:03
46;Assistante commerciale Stagiaire;23/12/2016 11:03
47;Formateur en informatique (Bureautique, programmation sous ACCESS, VISUAL BASIC, Hardware);03/01/2017 12:55
48;ASSISTANT RESSOURCES HUMAINES;05/01/2017 14:03
49;Planificateur de maintenance;10/01/2017 14:33
50;Responsable maintenance et travaux;10/01/2017 14:33
51;Reeponsable Maintenance et Assurence qualité;10/01/2017 14:33
52;CHEF D'USINE;10/01/2017 14:33
53;Energéticien;10/01/2017 14:43
54;Technicien en Energie;10/01/2017 14:43
55;INFORMATICIEN ;11/01/2017 09:53
56;Assistant de direction;11/01/2017 12:37
57;"Technicien Informatique ; Commercial";11/01/2017 12:44
58;Responsable park informatique;11/01/2017 12:44
59;ingénieur réseaux;11/01/2017 13:10
60;stagiaire en Mécanique Industrielle;11/01/2017 16:32
61;monteur vidéo;12/01/2017 09:30
62;Responsable Maintenance et Assurence qualité;12/01/2017 13:08
63;Responsable parque informatique;12/01/2017 13:34
64;RECEPTIONNISTE;12/01/2017 13:46
65;Directeur Informatique par intérim;13/01/2017 05:59
66;Administrateur Applicatif;13/01/2017 05:59
67;Chargé d'étude Projet Intranet;13/01/2017 05:59
68;Développeur PHP/Oracle;13/01/2017 05:59
69;Infographiste;17/01/2017 09:53
70;Attaché commercial;17/01/2017 17:20
