id;universite;created
9;IST;17/06/2016 15:17
2;ASJA;16/06/2016 10:04
3;IFT;16/06/2016 10:05
4;ISPM;16/06/2016 10:04
5;Polytechnique vontovorona;16/06/2016 10:04
6;Programme Mahefa;16/06/2016 10:05
8;Polytechnique ;16/06/2016 10:22
10;Formation de formateur;23/06/2016 12:17
11;Farimbona Antsirabe ;17/06/2016 08:42
12;Lycée privée Antsiranana;17/06/2016 09:32
13;FJKM Fenoarivo;17/06/2016 10:11
14;CEG Fenoarivo;17/06/2016 11:26
15;Harvard;23/06/2016 12:17
16;UCM;17/06/2016 13:35
17;Lycée Privée Catholique Masina Maria Mpanampy;20/06/2016 07:37
18;IS INFO;20/06/2016 07:55
19;Lycée Jules Ferry;20/06/2016 10:54
20;InATA ;23/06/2016 12:17
21;ACEEM;20/06/2016 11:07
22;InATA sécurité;20/06/2016 11:13
23;INSCAE;20/06/2016 11:22
24;CFEI Antsahabe;20/06/2016 14:31
25;Lycée Andohalo;23/06/2016 07:59
26;CFEI Antsahavola;23/06/2016 08:04
27;Lycée;24/06/2016 07:06
28;EST;24/06/2016 07:06
29;UTS;02/09/2016 07:13
30;universite;02/09/2016 07:26
31;Jean renoir;05/09/2016 13:59
32;ankatsoa;30/09/2016 09:45
33;UNIVERSITE ANTANANARIVO;09/11/2016 13:21
34;UNIVERSITE D'ANTANANARIVO;09/11/2016 13:21
35;COLLEGE SAINT FRANCOIS XAVIER ANTANANARIVO;09/11/2016 13:21
36;E-bit;12/12/2016 08:04
37;IS-INFO;12/12/2016 08:04
38;;12/12/2016 12:59
39;Lycée Moderne Ampefiloha;12/12/2016 15:09
40;IT UNIVERSITY;14/12/2016 09:01
41;LTPGCM;14/12/2016 09:01
42;IMGAM;14/12/2016 12:48
43;Université Ankatso;14/12/2016 12:48
44;Lycée Victor Miadana;14/12/2016 12:48
45;;14/12/2016 13:58
46;IESTIME;20/12/2016 17:47
47;TOP INFORMATIQUE;03/01/2017 12:55
48;IMGAM IVANDRY;05/01/2017 14:03
49;Institut Supérieur en Informatique(IS INFO);08/01/2017 06:21
50;Institut Supérieur de Technologie d'Antsiranana;10/01/2017 14:43
51;IS-info Ampasamadinika;11/01/2017 12:37
52;CNELA Antsahabe;11/01/2017 13:10
53;Lycée Technique d'Alarabia;11/01/2017 13:10
54;Ecole Supérieure Polytechnique D'Antsiranana;11/01/2017 16:32
55;BTS/LTC;12/01/2017 09:30
56;Lycée Technique d'Alarobia;12/01/2017 13:39
57;ankatso;12/01/2017 13:46
58;CNAM;13/01/2017 05:59
59;E-media;17/01/2017 09:53
60;ESCAME;17/01/2017 17:20
61;ENI Université de Fianarantsoa;18/01/2017 15:06
62;lycee sileny paul manakara;18/01/2017 17:13
63;Université de Toamasina;18/01/2017 17:22
64;CFRH;18/01/2017 17:22
65;Inspection du travail;18/01/2017 17:22
66;candidat libre;18/01/2017 17:27
67;CNTEMAD;18/01/2017 17:27
68;ESSCA;19/01/2017 08:38
69;Jules Ferry;19/01/2017 11:24
70;Instituts de formation technique;19/01/2017 16:50
71;Institut National de Promotion et de Formation (INPF Ivato;20/01/2017 08:25
72;CNTMAD (Télé- enseignement);20/01/2017 08:25
73;ASECNA;20/01/2017 08:25
74;Université de Fianarantsoa;22/01/2017 09:46
75;Lycée privé la Clairefontaine;22/01/2017 10:43
76;ISIME;23/01/2017 08:27
77;collège RASALAMA;24/01/2017 11:38
78;CNELA;24/01/2017 11:38
79;IMT ANTANIMENA;25/01/2017 06:26
80;Université Catholique de Madagascar;25/01/2017 08:57
81;Institution Sainte Famille;25/01/2017 08:57
82;Institut de Formation en Tourisme;25/01/2017 09:28
83;INFOCENTRE De LA Salle sise à Soavimbahoaka;25/01/2017 16:49
84;Andrainjato;26/01/2017 11:03
85;IST Antananarivo;27/01/2017 15:34
86;Antananarivo;30/01/2017 08:33
87;;30/01/2017 09:17
88;UPRIM MADAGASCAR;01/02/2017 09:10
89;INFOTOUR;01/02/2017 14:08
90;ISCAM;01/02/2017 15:48
91;I.M.T.;02/02/2017 12:07
92;Ecole Normale Supérieur Université de Fianarantsoa;03/02/2017 15:52
93;BIANCO Fianarantsoa;03/02/2017 15:52
94;MADVISION Fianarantsoa;03/02/2017 15:52
95;Lycée Isorana;03/02/2017 15:52
96;LJJR ;06/02/2017 09:48
97;Bit Formation Tsiadana Antananarivo;06/02/2017 11:41
98;Lycee fandriana;08/02/2017 15:33
99;EESDEGS Ambohitsaina;08/02/2017 15:33
100;cerf armi;08/02/2017 15:33
101;Institut Ssupérieur Spécialisé en Informatique et en Gestion (ISSIG);13/02/2017 09:38
102;LTC Ampefiloha;13/02/2017 09:38
103;institut superieur brillant school;13/02/2017 09:45
104;CNTEMAD Ankadifotsy ;13/02/2017 10:13
105;IEFPA ACEEM ;13/02/2017 11:34
106;Le Flambeau de Madagasar;13/02/2017 11:34
107;Ecole Supérieure Polytechnique D'Antananrivo;13/02/2017 12:09
108;Ecole Supérieure Polytechnique D'Antananarivo;13/02/2017 12:09
109;L. A. R. A;13/02/2017 12:09
110;Aditech;13/02/2017 12:09
111;E.C.A;13/02/2017 12:09
112;Lycée Sainte Thérèse Andasibe Ampefy, ISM Advancea;13/02/2017 13:37
113;lycée ampitatafika;13/02/2017 13:44
114;ESTIIM’;13/02/2017 13:44
115;ISM ADVENCEA;13/02/2017 13:44
116;Lycée Privée Stella Maris (Toamasina);14/02/2017 13:13
117;;14/02/2017 13:30
118;Ecole Supérieure Sacré Coeur Antanimena;15/02/2017 09:24
119;Université de le Réunion;15/02/2017 10:06
120;INSCO University;16/02/2017 14:54
121;ny loharano;17/02/2017 11:33
122;UPRIM;17/02/2017 11:33
123;UNFPA;17/02/2017 11:33
124;CNTMAD (Télé- enseignement) Ankadifotsy;18/02/2017 18:38
125;ELIT;21/02/2017 16:18
126;IMH;25/02/2017 21:09
127;IESTIME Antaninandro;26/02/2017 00:26
128;CFAC Saint François Xavier Antanimena;26/02/2017 19:28
129;Top Info Manjakaray;27/02/2017 07:24
130;Ecole Andrianarisoa;27/02/2017 07:24
131;Lycée Saint Joseph Antsirabe;27/02/2017 15:08
132;Tactinfo;28/02/2017 08:51
133;Athénée Saint Joseph Antsirabe (ASJA);28/02/2017 09:12
134;ST FAMILLE MAHAMASINA;28/02/2017 14:08
135;IPEC ;28/02/2017 14:27
136;COLLEGE CHRIST ROI MANJAKARAY;28/02/2017 16:14
137;ESNIG;28/02/2017 17:01
138;Microsoft;28/02/2017 17:01
139;Oracle Afrique;28/02/2017 17:01
140;Oracle Suisse;28/02/2017 17:01
141;Wall Street Institute ;28/02/2017 17:01
142;EF International School of Languages;28/02/2017 17:01
143;FAC DEGS TOLIARA;01/03/2017 09:24
144;LYCEE ANTSOHIHY;01/03/2017 09:24
145;ISCaMen;01/03/2017 10:09
146;Centre Ecologique de Libanona Tolagnaro (CEL);01/03/2017 10:57
147;zo hasina anosizato;02/03/2017 07:25
148;inspnamad boeny;02/03/2017 07:50
149;ISETS;02/03/2017 10:04
150;BIT Formation;02/03/2017 16:08
151;InSM;03/03/2017 09:01
152;Lycée Technique RLG Manjakaray Antananarivo;03/03/2017 09:04
153;Lycee privé Lorrier ;03/03/2017 16:16
154;ICI;03/03/2017 16:16
155;Université Tananarive ;06/03/2017 11:01
156;IEF ACEEM;06/03/2017 15:08
157;Le Petit Nid;06/03/2017 15:08
158;ISSEG (Institut Supérieur en Science de l'Environnement et de Gestion;07/03/2017 13:03
159;LYCEE ANDRE RESAMPA ANTSIRABE;07/03/2017 13:12
160;Centre de formation et d'application du Machinisme Agricole;07/03/2017 13:29
161;LTP Alarobia;07/03/2017 14:09
162;ESPA Diego;07/03/2017 14:09
163;Université Privée ACEEM ANTANANARIVO;07/03/2017 15:05
164;universite privée E-tec;07/03/2017 15:36
165;Faculté DEGS Ankatso Antananarivo;08/03/2017 14:29
166;Arpège Beauty School / IPAC;08/03/2017 14:29
167;Université Adventiste Zurcher;08/03/2017 16:00
168;inspnmad;09/03/2017 10:11
169;Université ACEEM;09/03/2017 12:11
170;IST-D;10/03/2017 09:26
171;Collège Saint Michel ;10/03/2017 14:53
172;IMGAM/FSSP;10/03/2017 15:08
173;ISF;11/03/2017 09:05
174;IUM;11/03/2017 13:09
175;LTC;13/03/2017 10:59
176;Info Club Isoraka;13/03/2017 16:23
177;Collège privé Laurier Andoharanofotsy;13/03/2017 16:28
178;Collège privé La source Claire Andoharanofotsy;13/03/2017 16:29
179;Université Mirail;13/03/2017 16:37
180;Institut Supérieur Spécialiser en Informatique et en Gestion à Soavimbahoaka;14/03/2017 06:16
181;Université de sciences sociales;14/03/2017 07:28
182;ELI;14/03/2017 08:11
183;collège;14/03/2017 08:11
