id;value
2;certificat en malagasy
3;certificat en anglais
4;Football
5;Documentation sur internet
6;photoshop
7;Responsable dans une chorale, technicien sonorisation,ecouter de la music  
8;certificat en francais
9;Chrétien, Sportif
10;Conseiller de l'association des étudiants Sud Est Antsiranana
11;Conseiller de l'association des étudiants Sud Est Antsiranana, membre de l'association FIZAVA, écouter de  la music, jeux d'échec, basket-ball, jeux vidéo, internet, cuisine
12;Responsable dans une chorale, technicien sonorisation,écouter de la musique
13;Basket-ball
14;Dépannage et maintenance informatique
15;natation
16;natation,lecture
17;Joue au rugby
18;je joue au rugby
19;LECTURE
20;Scoutisme
21;JEUX COLLECTIF
22;CISCO Technology, Debian Server, MS Windows Server 2000 et +
23;Dynamique,ponctuel,sérieux
24;Natation-basket ball-football-musique jazz-photographie
25;Natation-football-volleyball-jeux vidéo-échec
26;Musique-sport-bricolage-lecture
27;
28;Lecture, danse
29;Musicien
30;Foot,Basket
31;TIC
32;lecture, basket, football, natation, voyage
33;Basket-ball, natation
34;sport, music
35;Lecture, natation
36;CHAUFFEUR GUIDE 
37;sport, music, pêche, surfer sur le net
38;Pilote de test et reconnaissance en Rallye de Madagascar
39;Voyager, regarder la télé
40;Sports, Cinéma, Documentation sur Internet
41;C est de travailler bien
42;Vélo
43;voiture
44;LECTURE, football, internet,jeux vidéos, domino
45;lecture, basket, voyage
46;Jeux-video, Basket-ball, Football, natation, échecs
47;CHORALE DE L'UNIVERSITE
48;une grande faculté de prendre la parole en public
49;regarder des documentaires
50;Danse de salon
51;Musique, Voyage
52;Sport
53;"CHANTS; DANSES; VOYAGES"
54;Théâtre, chant, foot
55;Lecture, danse, musique
56;Basket-ball, natation, lecture, echec
57;"dynamique;serieuse;sociable"
58;administration et encadrement d equipe
59;musique,cuisine,sport
60;chant, lecture, foot
61;Lecture, football
62;football, arts martiaux, actualités internationales, arts urbain
63;Scoutisme, Choral, Football, Connaissance en leadership, Management, Gestion
64;lecture, théâtre, natation
65;Pratique de cours à domicile
66;lecture et internet 
67;"President des étudiants à l’I.F.T Antsirabe (Année Academique 2009-2010) ; -Loisir : lire des livres, suivre les actualités; -Sport pratiqué 	: Pétanque, Basket-ball et le Foot-ball"
68;Auto-moto/ Musique et chant
69;foot-ball,natation, 
70;surfé sur le net, facebook, photographie
71;Photographie
72;Informatique-Elevage-Automobile
73;Surfer sur le net, facebook, photographie
74;intéressé par les esprits créatifs 
75;voyages,faire des sports
76;Natation, cuisine, football, cinéma, musique, etc
77;Football, cyclisme, randonnés, etc
78;cinéma, exposition d'oeuvre d'art, documentaire
79;lecture, basket, voyage,musique,dance, auto
80;danse, boxe, chant,basket ball, foot ball
81;Musique, Voyage, sport
82;•	Course à pied. •	Nouvelles technologies. •	Montages vidéos. •	Voyages et les échanges multi-culturelles. •	Paris sportifs.
83;Football, jeux video
84;WEB
85;- Lire - Natation
86;Lecture, danse, basket ball
87;foot ball
88;excursion en équipe
89;INTERNET, DANSE
90;Lecture, Internet
91;maîtrise de l'outil informatique 
92;Scoutisme, Choral, Basketball, Connaissance en leadership, Management, Marketing, Communication
93;musique, nataion, recherche...
94;Chorale, Documentation sur Net, Sport
95;Internet, Aiki-do, jeux, lire
96;Zulba, lecture, voyage
97;presidente association
98;navigation sur internet
99;CUISINER,CHANTER, JEUX DE SOCIETE
100;Art Martial
