id;value
31;DEA
2;Licence
3;Master 2 
6;DTS
5;Data Quality Assurement
7;BTS
8;RCC
9;Formateur de base (PF/SR, DEPOCOM)
10;Système de Formation de Gestion
11;Responsabilisation de Changement de Comportement 
33;Master 1
13;BEPC
14;BACC serie D
15;Certification en réparation en électronique 
16;CEPE
17;BACC + 2
19;Licence en Informatique en administration système et réseaux
20;Ingénieur
21;Attestation en CCNA 
22;Bacc serie C
23;Licence en éléctronique informatique 
24;CCNA
25;CCNA sécurité
26;Système informatique de la gestion
27;Certification en maintenance informatique
30;D.T.S.S
34;Doctorat
35;CERTIFICAT ADMINISTRATEUR RESEAU SOUS LINUX
36;CERTIFICAT ADMINISTRATEUR RESEAU SOUS WINDOWS SERVEUR
37;LICENCE D'INGENERIE EN PHYSIQUE DES SIGNAUX ET SYSTEMES
38;DUES1 MATEHMATIQUE
39;BACCALAUREAT SERIE C
40;Ingénieur (en cours)
41;Analyse et Programmation
42;Licence en Informatique
43;Certificat de maintenance et dépannage Ordinateur
44;certificat PAO
45;certificat Développeur Web
46;Licence en Informatique Statistique Appliquée et Intelligence Artificielle
47;Formation professionnelle en Informatique Statistique Appliquée
48;Baccalauréat série D
49;Licence en Informatique Statique Appliquée et Intelligence Artificielle
50;Préparation Certificat CISCO CCNA
51;Formation spécialisée en base de données et réseaux 
52;Licence en réseaux et maintenance des systèmes informatiques
53;Baccalauréat
54;Master 1( cours à distance)
55;Licence en Marketing et commerce
56;Gestion
57;Baccalauréat A2
58;
59;Licence en Marketing international et Commerce extérieur
60;DTS en Marketing et Commerce
61;Certificat de fin d'étude en (Bureautique, programmation, Analyste programmeur, Hardware)
62;Bacc +2
63;LICENCE EN INFORMATIQUE EN  ADMINISTRATION SYSTEME ET RESEAUX
64;CERIFICAT
65;DTS en Electromécanique
66;DTSS en Energies Renouvelables
67;Ingénieur en Nouvelles Technologies de l'Electricité
68;licence en programmation informatique et gestion
69;Bacc + 2 en Informatique de gestion commercialisée
70;First certificat in English
71;Bacc en électrochnique Insdustrielle
72;Bacc + 4 en Mécanique Industrielle
73;BAC + 2 n Gestion et comptabilité
74;CEPE/ BEPC ET BACC SERIE D
75;Licence en Informatique développment (en cours)
76;Certificat de fin d'étude en (Bureautique)
77;BACC serie A2
78;Licence en économie
79;BEPC niv terminal
80;Gestion des RH et Administration du personnel
81;Management et Leadership
82;Droit et législations du travail
83;Bac série C 
84;Bac série D
85;Diplôme de Technicien Supérieur en Informatique de Gestion 
86;Licence Professionnel en Informatique (LPI) 
87;BAC
88;Licence proffessionnel
89;Technicien comptable avec Mention 
90;Gestion Spécialiste 
91;Stage de 6 mois dans l’Agence de Sécurité et de la Navigation Aérienne 
92;Licence en Informatique développement Web
93;Licence en Droit Privé
94;DEUG en Droit
95;Licence professionnelle en environnement option Conservation et valorisation de la biodiversité 
96;BTS Gestion Finances
97;Bacc Français
98;BACC
99;English First Certificate
100;Ingénieur en Informatique et Telecommunication
101;Ingénieur en Telecommunication
102;Master 2 en Macroéconomie et Economie Publique
103;Licence en Economie et Gestion
104;DPAEC
105;Bacc+3 en tourisme et hotellerie
106;MASTER 2 EN BIOCHIMIE
107;DEUG en Gestion
108;Licence en socio-Environnement
109;DTS en Gestion de Transport et Logistique
110;Ingéniorat en Tourisme et Environnement
111;Developpeur PHP et Administrateur système reseaux
112;Master I (en cours)
113;bacc + 3 en gestion
114;BACC+2
115;DTS EN GESTION ET MAGNAGEMENT
116;Formation professionnelle en Audio visuelle
117;DST
118;DEPA Marketing Communication (Bac+4)
119;PCG 2005
120;master one en science de l'education
121;Licence en Histoire
