id;value
3;Développeur web
2;Intégration web
4;Développeur mobile
5;Technicien en informatique ou électronique
7;Développeur python
8;Administrateur système, réseaux maintenance
9;Technicien en informatique 
10;Développeur java
11;Maintenance réseau
12;Directrice de production
13;Administrateur système,réseaux 
14;Responsable de production
15;Secrétaire de direction
16;Technicien en informatique,électronique
18;Web designer
20;Développeur
21;Commercial
22;Chef de chantier
23;Responsable informatique
24;Informaticien
25;Technico-commercial 
26;Technicien de support 
27;Commerciale
28;Ressources humaines 
29;Chef de département technique
30;Ingénieur
31;Informatique
32;Informaticien , commercial
141;Département juridique,ressources humaines débutant
34;Réceptionniste , chauffeur de particulier  
35;Développeur informatique junior(débutant)
36;Infographiste
37;Programmeur progiciel
38;Marketing
39;Technicien informatique
40;Finance
43;Commercial ou HSSE
46;Assistante administrative ou logistique 
45;Assistant commercial
48;Technicien de maintenance logicielle 
49;Technicien d'intervention pour un dépannage de réseau 
50;Technicien administrateur réseaux
51;Développeur web, mobile
52;Assistantante juridique, ressources humaine, référencer SEO
53;Assistante juridique, ressources humaine, référencer SEO
54;Travailleurs dans le projet de développement rural
71;Télécommunication
56;Administration
57;Comptabilité,producteur
58;Tourisme
59;Biochimie, biologie, nutrition 
60;Tout dans le relationnel,communication,événementiel
61;Direction ressource humaine
66;Développeur PHP,administrateur système réseaux
63;Domaine de la logistique, du tourisme
64;Communication,événementiel
65;Communication
67;Développeur PHP (junior)
68;Responsable ou assistant logistique
69;Administrateur système,réseaux (débutant)
70;Aide comptable
72;Comptable, contrôleur de gestion, analyse statistique
73;Enquêteur
74;Animateur,commercial
75;Responsable commercial
76;Animatrice  de vente
77;Opérateur de saisie
78;Responsable ressources humaines ou comptable
79;Ingénieur agronome
80;Caissière ou vendeuse
81;Gestionnaire de stock,magasinier,divers
82;Gestion, informatique
83;Réceptionniste,tous les emplois
84;Comptable, caissière
85;Comptable
86;Comptable,assistant comptable
87;Ingénieur télécommunication
88;Commercial,,rédacteur web français
89;Rédacteur web français ou commercial
90;Réceptionniste
91;Assistant comptable
92;Rédacteur web français
94;Informaticien,administration
95;Magasinier 
96;Comptable (débutante)
97;Analyste financier,comptable (débutant)
98;Rédactrice web français
99;Consultant junior, ,statisticien, assistant administratif, assistant comptable
100;Juriste en droit commercial ( débutant )
101;Communication,audiovisuels, tourisme
103;Graphiste
104;Développeur d'application
105;Assistant comptable
106;Secrétaire
107;Opérateur web
108;Juriste ou poste similaire
109;Développeur d'application (débutant)
110;Juriste
111;PAOiste (débutant)
113;Comptable (débutant)
114;Dans le domaine d informatique, coursier, BTP
115;Chauffeur (privé, tourisme,..)
116;Chef de projet , data manager , ingénieur logiciel
117;Département juridique,ressources humaine
118;Environnement (biodiversité)-enquêteur-développement rural
119;Intégrateur HTML,CSS
120;Informatique , comptable , statistiques
121;Secrétaire juridique
122;Opérateur de saisie,online,magasinier
123;Sage femme
140;Juriste débutant 
125;Sécurité
