id;value
5;Développeur mobile
2;Integrateur
3;Commercial
6;Développeur
7;Directeur Informatique
8;Operateur Machine
9;Chef CID (Centre Informatique de District) 
10;Technicien d’Appui  
11;Technicien accompagnateur  
12;Stagiaire
13;Technicien Informatique
14;Vendeur 
15;Développeur web
16;Développeur java
17;Direction
18;Direction de production
19;Technicien
20;Mécanicien
21;Electronicien
22;Enquêteur
23;Répétiteur
24;maintenance et réseau
25;développeur PHP
26;chef de projet
27;chef de chantier
28;responsable informatique
29;INFORMATICIEN DE MAINTENANCE
30;ADMINISTRATEUR RESEAU
31;INGENIEUR FORMATEUR ET ELECTRONICIEN
32;FORMATEUR
33;Professeur en Maintenance et Réseau Informatiques
34;Préstatire de service informatique (Sous traitance avec Sté Appolonia - Toulon, France)
35;Stagiaire en Administration Réseau et Sécurité
36;Développeur (free-lance)
37;Stagiaire en Analyse et Programmation
38;Opérateur de saisie
39;Responsable Technique de Projet 
40;Technicien de support réseau
41;Chef  informatique du district
42;
43;Conseillère technico-commerciale
44;Assistante commerciale
45;Conseillère technico-commerciale Stagiaire 
46;Assistante commerciale Stagiaire
47;Formateur en informatique (Bureautique, programmation sous ACCESS, VISUAL BASIC, Hardware)
48;ASSISTANT RESSOURCES HUMAINES
49;Planificateur de maintenance
50;Responsable maintenance et travaux
51;Reeponsable Maintenance et Assurence qualité
52;CHEF D'USINE
53;Energéticien
54;Technicien en Energie
55;INFORMATICIEN 
56;Assistant de direction
57;"Technicien Informatique ; Commercial"
58;Responsable park informatique
59;ingénieur réseaux
60;stagiaire en Mécanique Industrielle
61;monteur vidéo
62;Responsable Maintenance et Assurence qualité
63;Responsable parque informatique
64;RECEPTIONNISTE
65;Directeur Informatique par intérim
66;Administrateur Applicatif
67;Chargé d'étude Projet Intranet
68;Développeur PHP/Oracle
69;Infographiste
70;Attaché commercial
71;TELECONSEILLER
72;Technical Regional Manager
73;Assistant en étude et analyse des données douanieres
74;mecanique moto 2T
75;RESPONSABLE ADJOINT EN APPROVISIONNEMENT
76;Gestionnaire des emplois 
77;Gestionnaire et chargé du développement RH
78;Musicien Interpréteur, Programmeur
79;Volontaire des quartiers
80;R hse
81;Chargé de Projet Client
82;Attaché client et  responsable marketing
83;Responsable Ressources Humaines & Logistique
84;Responsable Administrative & Financier 
85;Comptable & Assistante Administrative 
86;Assistante Comptable
87;Web Master / Developper
88;Agent d'escale
89;Responsable achat 
90;Télé-conseiller
91;Chroniqueuse
92;Cordonateurs socio-organisationnelle
93;Stagiaire en Administration 
94;Chargé de Clientèle
95;Stagiaire en Comptabilité
96;Secrétaire standardiste sénior
97;Réceptionniste polyvalente
98;Administrateur des ventes opérations
99;assistante manager
100;Designer
101;Cadreur, Monteur, realisateur
102;Professeur de Mathématiques
103;Responsable Financier
104;Assistante administrative
105;agent de réservation
106;LABORATOIRE
107;SECRETAIRE LOGISTIQUE
108;comptable
109;Animateur
110;Rédacteur web Junior / Rédacteur web Confirmé / Chef de Mission
111;Responsable Volet Ecotourisme du Parc National de la Montagne d'Ambre
112;Assistante Import / Export
113;Consultant
114;superviseur
115;Informaticien polyvalent
116;Developper 
117;informatique
118;PAO-iste, infographiste
119;Participant
120;"Agent de production;agent administratif;vendeuse"
121;RESPONSABLE BOUTIQUE
122;WEB Designer
123;receptioniste, femme de chambre
124;Responsable Commercial
125;Directeur Commercial
126;Chef de Produit HYUNDAI
127;secretaire générale
128;secretaire
129;RESPONSABLE RH ET COMPTABLE
130;GUICHETIER PAYEUR EXPLOITANT
131;redacteur free lance à domicile
132;Responsble bibliothèque
133;Professeur informatique et Bibliothècaires
134;Caissier, Aide comptable, Secretaire
135;IT Officer
136;caissiere
137;responsable d approvisionnement
138;Stagiaire en gestion
139;Enseignante de la langue anglaise
140;couturiere
141;Comptable Stagiaire
142;Agent Hotliner
143;Enseignant
144;opérateur de saisie au sénat de Madgascar
145;ICT Intern 
146;accueil
147;Stagiaire en Administration Réseau et Programmation
148;Chef de distribution 
149;
150;Magasinier
151;Agent technique 
152;Gestionnaire
153;Assistante Administrative et Financière 
154;Secretaire de direction 
155;Agent de Méthode
156;rédactrice web
