id;value
2;SS2I
4;Informatique
5;SSII
7;Santé communautaire
8;Santé de la Mere et de l' enfant
11;Opérateur téléphonique
12;Environnement et Forêt
13;Université
14;Vente de matériel informatique 
15;Centre de Loisirs
16;Menuiserie
17;Confection de produits  en aluminium
18;Opérateur mobile
19;Opérateur de télécommunication 
20;Aéronautique
21;Sécurité Aériens
22;Sécurité Aérienne
23;Transport aérien
24;Communication
25;Humanitaire
26;Ong
27;Santé
28;Commission électorale
29;Horlogerie
30;Dépanneur électronique
31;Agence de communication
32;Enseignement
33;Opérateur en téléphonie
34;Développement Web
35;BTP
36;Hôtellerie
37;PECHERIE
38;CONFECTION TEXTILE
39;Exploitation de jeux
40;Informatique et electronique et formation
41;Transport
42;Formation
43;Administration publique
44;Vente & location film
45;TIC
46;Cyber café
47;Ecole
48;Comptabilité/traitement de données 
49;Création site web
50;commerce
51;Minier 
52;Organisme électoral
53;Téléphonie
54;
55;Réseau et optimisation
56;Marketing
57;Producteur de Sucre, Alchool
58;Centre de formation en informatique
59;SÉCURITÉ ET GARDIENNAGE
60;Casino
61;Loisirs
62;Jeux
63;MINE
64;INDUSTRIEL
65;Fabrication d'huile lubrifiante
66;Fabrication des cartons 
67;Énergie et Telecom
68;développement 
69;Art et Patrimoine à Madagascar
70;Outil informatique
71;Produit alimentaire
72;Prestataire de service réseaux
73;Bâtiment et Travaux public
74;Création Vidéo
75;RESTAURATION ET HÔTELLERIE
76;Développement Informatique 
77;Secteur extractives (Mines et Pétrole)
78;Sport
79;Télécommunication
80;Multimedia
81;IT
82;Support et Service Informatique
83;Construction Maison Ecologique et Modulaire
84;mecanique moto
85;Aquaculture
86; Musique
87;sociale
88;industiel
89;Carterie évènementielle
90;Société de Distribution Automobile 
91;Société de Transit 
92;Bureau de Liaison Textile Américain 
93;Zone Franche Française 
94;Vente
95;Call Center
96;Volet agricole
97;Export de fruits de mers
98;Import Export
99;Concessionnaire auto-moto
101;Clinique vétérinaire
102;bourse de commerce
103;WEB
104;Media
105;Parti politique
106;Finance
107;SII
108;Agence de Voyage, Tour Opérateur
109;LABORATOIRE BIOLOGIE MOLECULAIRE
110;Administration et Communication
111;IMPRESSION
112;secteur tertiaire
113;Webmarketing
114;Ecotourisme
115;Tourisme et Environnement
116;Transport maritime de conteneurs
117;Programme des Nations Unies pour le développement à Madagascar
118;Revendeur 
119;Groupe consultant
120;Nutrition infatile
121;Topographie
122;journalisme
123;Bâtiment et construction
124;Commerce Interational
125;Environement
126;commercial
127;CDI
128;DSI
129;Service Informatique
130;Hôtellerie
131;Automobile
132;Menuiserie Aluminium
133;Partage des documents entre les étudiants
134;Développement du monde rurale
135;BANQUE
136;agriculture
137;Bibliothécaires
138;Professeur informatique et Bibliothécaires
139;Caissier, Aide comptable, Secrétaire
140;Hôtesse Polyvalente A
141;entreprise de construction (BTP)
142;Traitement de donnée offshore
143;enseignante
144;Textile
145;Cabinet Juridique
146;Administration réseau
147;Réseau et système informatique
148;Bénévole
149;agence de voyages 
150;Stagiaire
151;Exécution
152;
153;protection sociale
154;commercialisation et le traitement des paris sur les courses de chevaux
155;construction 
156;Adduction d'Eau potable - construction BTP
157;fabrication de briques
158;imprimerie
159;Production/Transformation
160;Administration
161;Production agro alimentaire
162;Production textile
163;Analyse statistique
164;mécanisation agricole, qualité, agriculture, transport terrestre
165;Hôtellerie et restauration
166;PROSPECTION DES CLIENT
167;Cosmétique
168;unité de recherche langoustière
169;exportation de fruit de mer
170;co-fondadeur projet
171;Cabinet
172;ONG Projet
173;Service client
174;ambassade
175;jouets
176;exportation de litchis 
177;plantes et huiles essentielles
178;Collecte des déchets
179;prestataire de l'opérateur téléphonie TELMA
180;CASINO MARINA
181;Société offshore
182;Cartographie 
183;Traitement de données et d'informations
184;Fonction ministérielles 
185;application mobile
186;conception d'un navigateur internet pour les enfants
187;aviation
188;Négoce international (trading) des matières premières
189;Editique
190;SSII - Consulting auprès de grands comptes à La Réunion. 
191;SSII - Consulting auprès de grands comptes en Suisse. 
192;Développement de logiciels
193;Commercialisation (copieurs, solutions informatiques, etc)
194;Développement de logiciels & formations informatiques
195;Art plastique
196;Jiro sy Rano
197;Responsable de la Patrimoine Nationale
198;Coton
199;MICROFINANCE
200;Entreprise Informatique
201;Freelance
202;pénal et civil
203;stage en tant que sage femme
204;COMMERCIALE
205;
206;Centre d'Appel
207;laborantin 
208;industrielle 
209;Gouvernement Malagasy
210;ONG INTERNATIONALE (Eau Assainissement et Hygiene)
211;ONG INTERNATIONALE
212;electronique et electricite
213;Serveuse
214;Offshore
215;Institut de Beauté et boutique
216;Université Privé spécialise en Développement Local
217;responsable du bureau
218;téléopérateur
219;NTIC
220;Gestion
221;auditeur
222;exportation
223;bureau d'expertise social et de diffusion technique
224;secrétariat
225;cinéma
226;Recherche
227;environnement
228;hôtesse d'accueil
229;AGRO ALIMENTAIRE
230;AMBATOVY
231;Institut polytechnique
232;grande distribtution
233;Génie Rural
234;Accompagnement familliale
235;Urbanisme
236;Caissier
237;vente des marchandises generale
238;Route et transport, éducation cityoenne
239;Route et transport, education citoyenne
240;administration et finance
241;comptabilité
242;"Projet ASARA ""Sécurité alimentaire"""
243;Multi-service
244;agroalimentaire
245;Vente des habilles, mode et textile
246;Vente de t-shirt 
247;chauffeur
248;mécanique auto
249;Direction logistique
250;évenementiel
251;Société civile
252;Magasin de mode
253;Marchandise des pièces détacher 
254;Image
255;rxploitation minière
256;Commercial et  Conseiller clientèle
257;Caissière 
258;laboratoire
259;TERTIARE
260;ventes et locations de voiture
261;traitement  de donnée informatique
262;DOMAINE  DE LA TRANSFORMATION DU LAIT  EN  FROMAGE  ET YAOURT
263;vente  des bales  de  friperie
264;DISTRIBUTION DE L'EAU ET ELECTRICITE
265;RESTAURATION
266;vente des marchandises générales
267;Sociologie
268;Vente de pizza
269;Photographie
270;Vente de PPN
271;Marchandise des pièces détachées
272;Vente en grande surface
273;Assurance
274;Service de transport de PPN
275;Économie
276;Production industrielle
277;Production d'énergie solaire
278;Direction Systèmes des Informations
279;Transitaire
280;Banques
281;agence web
282;Génie Civil
283;diplomatie
284;Entreprise
285;Tourisme
286;Vente de produits boulangers
287;publicité
288;Vente de vêtements
289;Education
290;GRH
291;TERTIAIRE
292;Maintenance pétrolière BTP
293;Zone Franche en textile
294;élevage
295;Grande distribution
296;Plantation & Mine
297;Vente vehicule
298;Vente de vêtements à la mode
299;Boutique
300;association
301;Vente en ligne
302;Cabinet comptable
303;Service de sécurité
304;Vente de produits cosmétiques
305;Election
306;Brasserie
307;Nul
308;Vente de véhicules
309;Préservation des infrastructures
310;PAO
311;Formation professionnelle NTIC
312;Recherche agricole
313;Néant
314;Éditeur de logiciel
315;A confirmer
316;Grossiste pharmaceutique
317;Développement Jeune
318;politique d’éducation
319;Artistique
320;Plateforme de réservation en ligne d'hôtels en Afrique
321;Saisie d'actes d'état civil
322;Religion
323;Rédaction
324;protection de l'environnement
325;Service traiteur
326;Sécurité
327;COMMERCE ET DISTRIBUTION
328;DISTRIBUTEUR AGRÉER ET EXCLUSIF PRODUIT ORANGE SUR TANA
329;EXPORTATION DE PRODUITS LOCAUX
330;Musique
331;Prestataire de service 
332;INFORMATIQUE ET ÉLECTRONIQUE NUMÉRIQUE
333;Épicerie
334;Association sportive
335;BNI MADAGASCAR
336;Opératrice web, référenceuse
337;Consultant en gestion/importateur de miel/agence pub
338;Eau, Energie renouvelable, Assainissement
339;Communications Électroniques 
340; Télécommunication et de Réseau
341;Télécommunication et de Réseau
342;Développement rural
343;Distribution
344;Cuisine
345;Saisie Informatique
346;activiste œuvre social
347;Traitement des flux d'informations
348;Prof Informatique
349;Prof de Mathématiques
350;Prof Modulaire
351;Opératrice 
352; TECHNICO -COMMERCIALE - MAGASIN 
353;Plomberie
354;Sensibilisation
355;Projet, Industriel
356;Sensibilisation
357;Maintenance (Instrumentation)
358;Énergie renouvelable(centrale hydroélectrique)
359;"Traitement des dossiers d'Appel d'Offres et la préparation des cahiers de charge;"
360;Construction et Fabrication Mécanique, Électricité à HT et BT
361;Audit
362;Études de marchés
363;Sérigraphie
364; Industriel
365;logistique
366;Suivi évaluation
367;TOP RESEAU
368;Transit et Douane
369;distribution pétrolière
370;Carrière et terrassement
371;Direction d'Exploitation Eau
372;RH
373;Entraîneur sportif
374;Projet oeuvrant dans le domaine de la Santé
375;boulangerie vienoiserie patisserie salon de the 
376;Opératrice de saisie
377;Vente de pièces détachées
378;Eau et électricité
379;Aviculture/Pisciculture/Porcine
380;Plantation et Mine
381;Plantations et Mines
382;Intégrateur informatique
383;Rédactrice web
384;Projet de développement rural / Banque Mondiale (BM)
385;Projet de développement rural / Agence Française de Développement (AFD)
386;Entreprise de constructions - Locations - Tour mécanique 
387;Assistance Technique - FIFABE
388;Fabrication et exportation de maquettes de bateaux et avions
389;Cabinet d'Audit et Comptabilité
390;Cabinet d'Expertise Comptable
391;Collecte de riz
392;Immobilier
393;
394;CATERING&SERVICE 
395;Accompagnement familial
396;Sérigraphie
397;Construction Infrastructure télécommunication
398;Service de Santé
399;Commercialisation de copieurs et solutions informatiques
400;vente de produits
401;Grossiste & Grande surface
402;
403;Boulangerie/Viennoiserie/Pâtisserie/Salon de thé
404;Bijouterie
405;PPN et matériaux de construction
406;Section Informatique et de Transmission des données
407;INFORMATIQUE ET COMMUNICATION
408;Aviculture/Pisciculture/Porciculture
409;animatrice
410;Photographe,vidéaste
411;QHSE
412;Bâtiment 
413;Agence Immobilier
414;Zone Franche
415;Agence comptable
416;Expertise comptable
417;Importation
418;Agence
419;Institution financière
420;Société de distribution
421;ENTRERPISE COMMERCIALE
422;centre d'accès internet
423;Audit comptable et financier
424;DIVERSES
425;Audit comptable et financier - Expertise comptable - Conseil
426;BPO - Expertise Comptable
427;Bâtiment et construction- INDUSTRIELLE-EDUCATION
428;BNI-Leasing
429;Ciel textile
430;Gestions des clientèles 
431;Transport et tourisme
432;pédagogie
433;Service technique
434;Réseaux et Télécommunication
435;Cabinet de conseil et d'accompagnement
436; MAINTENANCE OPERATIONS  GENERAL ENGINE INSPECTIONS
437;MATERIALS CONTROLLER ,MAINTENANCE
438;SECURITY OFFICER Ambatovy Nickel & Cobalt Project Tamatave, Madagascar
439;Ambatovy Refinery & Power Plant Project
440;Ambatovy Refinery Project Tamatave, Madagascar
441;BUREAU D ETUDE
442;STATISTIQUE CARTOGRAPHIE CENSITAIRE
443;Société d' exploitation minière (graphite)
444;maritime
445;Secteur industriel
446;quincaillerie generale
447;import/export
448;Projet
449;Oeuvre sociale
450;Créateur de contenu WEB
451;Secteur d'activite
452;Droit
453;Divers
454;Institution politique
455;Emballage
456;technicien
457;Ambatovy Plant Site - PAL (Process Acid Leach) Instrumentation
458;Instrumentation
459;Maintenance
460;Webmarketing Redac-Seo
461;tricot
462;DEVELOPPEMENT LOCALES
463;Maintenance et réseau informatique
464;BTP et Génie Civil
465;Informatique Télécommunication
466;Gérer tout les hopitaux et les disponsaire publique district de Vakinankaratra
467;offre et service
468;Operateur online 
469;Développement web
470;expertise
471;Gérer tout les hôpitaux et les dispensaires publique district de Vakinankaratra
472;installation VOIP
473;AAA
474;PAO et informatique
475;exploitation minier
476;Construction Bâtiment, Contrôle, surveillance, suivi
477;(aucun)
478;Travail social
479;Informatique des systèmes et des réseaux
480;TRANSPORT COLIS
481;DISTRUTION BISCUTERIE
482;VENTE ET DISTRUBITION MATERIAUX DE CONSTRUCTION
483;VENTE ET DISTRUBITION PRDUITS ALCOOLIQUES
484;TRAVAUX DE REHABILITATION EN APPROCHE HIMO STRUCTUREE 
485;distributeur électromenager et autres
486;lingerie
487;Importateur et grossiste PPN
488;consignation de Navire
489;gaz gpl
490;Relation client
491;Logistique et comptabilités Matières
492;revendeur matériaux de construction
493;Collecte , production fruit des mers
494;Shop Advisor
495;Producteur boisson alcoolique 
496;production
497;Route
498;Opératrice de saisie (transcriptrice médical)
499;Animatrice de vente
500;main d'oeuvre
501;confection de vêtements
502;Construction en BTP
503;Dessinateur
504;Offshoring
505;Aide-Sociale
506;SOCIETE
507;TRASPORT
508;aéroportuaires
509;Enquêtes et statistiques
510;exportation des pullovers
511;Comptable
512;Tranport
513;Audite et comptabilité d'entreprise
514;Cabinet d'étude
515;Telecom
516;Incendie et Risques Divers
517;agence qui occupe les missionnaires 
518;agence qui s'occupe des missionnaires 
519;Gestion bancaire
520;Suivi technique
521;Rédaction web
522;
523;Ressources humaines
524;IT, Telephonie d'entreprise
525;Seteur INCENDIE
526;Élevage et Agriculture 
527;construction  batiment,pont,ecole...
528;GRC
529;Regis Publicitaire et central d'achat Médias publicitaire
530;Peche et Ressource Halieutique
531;Ressource Marine
532;Enquête
533;Machine industrielles de haute technologie
534;Installation électrique
535;Maintenance électrique
536;Néant
537;Fabrication et vente des produits laitieres
538;Commune
539;informaticien
540;Bénévolat
541;Achat, culture, vente et extraction de plantes médicinales
542;PETROLE
543;ELECTRICITE
544;MICROFINANCES
545;MECANIQUE INDUSTRIELLE
546;Senior développeur
547;Senior développeur
548;RESPONSABLE ACHAT ACCESSOIRES
549;Java
550;Ingénieur DBA et responsable outils métiers
551;Développeur sous Delphi et administrateur de base de donnée Oracle 10g assistant au sein de la société MATERAUTO Madagascar.
552;Animateur de vente
553;Collecte des données online
554;base de données
555;Société industrielle à Antananarivo
556;Ouvrages industriels
557;Sûreté
558;Société Industrielle et Commerciale de la vente du riz 
559;IMPORTATION ET VENTE DES EQUIPEMENTS MEDICAUX
560;VENTE ET DISTRUBITION MATERIAUX INFORMATIQUE
561;infirmier
562;Centre de Formation
563;Assurance Personnel
564;Centrale d'Achats de Média)
565;Conseil en communocation, marketing, publicité, relations publics.
566;Sciences
567;Électricien, Électronicien et Bâtiment
568;Informatique, électricien, électronique
569;Électricité et Bâtiment 
570;Magasinier
571;Administrative, Ressources Humaines et Comptabilité
572;Cuisine et villa
573;Fabrication huile moteur
574;papeterie
575;informatique et télécommunication
576;agence de placement
577;Multi activité 
578;CREDIT 
579;diagnostic
580;export
581;agricole
582;Teleoperatrice
583;Mutuelle de santé
584;Professeur de Français
585;Hotel Restaurant
586;Audio Visuel
587;Assurances
588;Clinical Research Orgnanisation (CRO)
589;Cabinet d'audit et d'expertise comptable
590;RESTAURATION ET cabaret
591;programmation
592;Pâtisserie - boulangerie
593;communication Événementielle
594;Construction, fabrication navale
595;FROID INDUSTRIELLE
596;Transport ferroviaire
597;Production, Transport, Distribution de l'énergie électrique
598;Informatique systeme et reseau maintenance
599;Collecte et Transport
600;Activités Minières
601;vente des produits cosmetiques
602;ENTREPRISE COMMERCIALE
603;Accueil
604;Restaurant
605;Externalisation comptable
606;TRAITEMENT DE LIVRE
607;Construction métallique
608;Exportation bois
609;Usine de mélange de lubrifiants
610;"Groupe actif dans les domaines de commercialisation de gaz domestique ; trader pour les exportations des chromes sur la Chine. "
611;Société de Transit et de Commissionnaire en douane. 
612;Société d’Exploitation de Nickel et Cobalt
613;Société de Parapharmacie Madagascar Austral Distribution
614;Vente de fourniture de bureau
615;affaires Financières
616;COURRIER EXPRESS
617;FAC DEGS
618;Management
619;Start up
620;Outsourcing
621;Formation professionnelle
622;Nutrition
623;production et commercialisation des produits artisanaux
624;production d'oxygène 
625;RESTO-BAR
626;Technologie Informatique
627;Vulgarisation et Marketing
628;Communication et evenementiel
629;Accueil et protocole
630;Magasinier ou Poste Vacant
631;Tour opérateur
632;Extraction des plantes médicinales
633;Extenalisation informatique
634;Fabrication des gateaux
635;Restauration - Bar 
636;Travail Libéral
637;Technique Commercial 
638;Transformation de pierre en ammenblement
639;Construction et réparation navale
640;santé communautaire et sécurité alimentaire
641;Gestion des risques et catastrophes
642;relation clientèle
643;Commercial
644;VENTES DE VINS production locale
645;Transit et Douane , Transport
646;Commercialisation des matériaux de construction 
647;Tout 
648;Relation Publiques
649;TEXTILE et CONFECTION
650;PLASTIQUE, Grande distribution
651;Agriculture et Extraction de principe actif
652;FORMATION UNIVERSITAIRE
653;Culture et patrimoine
