id;value
13;SIGEM
2;ubuntu
37;Java
17; Adobe photoshop
34;Linux
26;Microsoft windows server 2012
977;GOAUTODIAL
68;microsoft office 2010
76;CSS
77;SQL
83;ORACLE
96;Windows 10-Windows Xp
97;Windows Server 2003-Ubuntu
98;Windows Xp -OFFICE 2K7  2K10  2K13
99;CISCO Paket Tracer, GNS3
129;ORACLE,JAVA
138;3Dsmax 2016, Adobe Premier Cs6, Adobe Illustrator, Adobe After Effect, Adobe Photoshop, Cinema 4D
139;Atoll
140;Pathloss
141;Packet Tracer
148;Microsoft Windows Server 2012, PowerPoint, Excel avanc
791;Serenic
165;PHP, SQL, JAVA, Adobe Photoshop, R
223;Adobe Premier Cs6, Adobe After Effect, Adobe Photoshop,
265;SIG
267;PHP, SQL, Adobe Photoshop, R
279;Linux, access, MySQL, postgresql , php, Java
282;Windows Server 2003-Ubuntu, JAVA, C++, VB, Delphi, Pascal, HTML5, CSS3, Javascript et PHP, Access microsoft, MySQL, postgreSQL
283;Word
284;
289;PowerPoint,
292;Bureautique, Web, HTML, CSS, CMS, WordPress
293;Sage, Saari, Ciel compta
294;Windows 10-Windows Xp, photoshop, office
295;Bureautique, outlook
296;Microsoft Office 2010, Auto CAD, MS project
297;Blender, See Electrical
300;Word
792;Sage
350;SAGE compta, SPHINX, sage commercial, sage paie, EBP
351;Microsoft Office 2010, HTML
352;Word, Excel
353;word, excel, powerpoint, sentinel, minsat, Ability 
354;Word, Excel, Powerpoint, Sentinel, Minsat, Ability
356;Word
357;Windows 10-Windows Xp, sage, 
358;sage
359;Autocad/word/excel/powerpoint
360;HTML, CSS, Jquery, Wordpress, Joomla
362;HTML5/PHP/ACCESS/ORACLE
364;Windows Xp -OFFICE 2007  2010  2013
367;Microsoft Windows Server 2012/SQL server/HTML5/PHP5
375;Ubuntu
376;PHP, SQL, Adobe Photoshop
380;Microsoft Office 2010/Autocad 2D
381;SQL, C, C++, JAVA, VB, CodeIgniter, symfony, JavaFx
382;Excel 
383;Java, C#, PHP, HTML5/CSS3, JavaScript, Bootstrap, Spring MVC, Hibernate, .Net, JSF, NodeJs, Android, Xamarin, Cordova, MySQL, Oracle, PostgresQL
399;Outlook, Sage Saari, Ciel compta
402;Adobe Photoshop/outlook/word/excel/power point
419;EXCEL, ADOBE INDESIGN,SPHINX,
