id;value
9;IST
2;ASJA
3;IFT
4;ISPM
5;Polytechnique vontovorona
6;Programme Mahefa
8;Polytechnique 
10;Formation de formateur
11;Farimbona Antsirabe 
12;Lycée privée Antsiranana
13;FJKM Fenoarivo
14;CEG Fenoarivo
15;harvard
16;UCM
17;Lycée Privée Catholique Masina Maria Mpanampy
18;IS INFO
19;Lycée Jules Ferry
20;InATA 
21;ACEEM
22;InATA sécurité
23;INSCAE
24;CFEI Antsahabe
25;Lycée Andohalo
26;CFEI Antsahavola
27;Lycée
28;EST
29;UTS
30;
31;Jean renoir
32;ankatsoa
33;UNIVERSITE ANTANANARIVO
34;UNIVERSITE D'ANTANANARIVO
35;COLLEGE SAINT FRANCOIS XAVIER ANTANANARIVO
36;E-bit
37;IS-INFO
38;
39;Lycée Moderne Ampefiloha
40;IT UNIVERSITY
41;LTPGCM
42;IMGAM
43;Université Ankatso
44;Lycée Victor Miadana
45;
46;IESTIME
47;TOP INFORMATIQUE
48;IMGAM IVANDRY
49;Institut Supérieur en Informatique(IS INFO)
50;Institut Supérieur de Technologie d'Antsiranana
51;IS-info Ampasamadinika
52;CNELA Antsahabe
53;Lycée Technique d'Alarabia
54;Ecole Supérieure Polytechnique D'Antsiranana
55;BTS/LTC
56;Lycée Technique d'Alarobia
57;ankatso
58;CNAM
59;E-media
60;ESCAME
61;ENI Université de Fianarantsoa
62;lycee sileny paul manakara
63;Université de Toamasina
64;CFRH
65;Inspection du travail
66;candidat libre
67;CNTEMAD
68;ESSCA
69;Jules Ferry
70;Instituts de formation technique
71;Institut National de Promotion et de Formation (INPF Ivato
72;CNTMAD (Télé- enseignement)
73;ASECNA
74;Université de Fianarantsoa
75;Lycée privé la Clairefontaine
76;ISIME
77;collège RASALAMA
78;CNELA
79;IMT ANTANIMENA
80;Université Catholique de Madagascar
81;Institution Sainte Famille
82;Institut de Formation en Tourisme
83;INFOCENTRE De LA Salle sise à Soavimbahoaka
84;Andrainjato
85;IST Antananarivo
86;Ankatso
87;
88;UPRIM MADAGASCAR
89;INFOTOUR
90;ISCAM
91;I.M.T.
92;Ecole Normale Supérieur Université de Fianarantsoa
93;BIANCO Fianarantsoa
94;MADVISION Fianarantsoa
95;Lycée Isorana
96;LJJR 
97;Bit Formation Tsiadana Antananarivo
98;Lycee fandriana
99;EESDEGS Ambohitsaina
100;cerf armi
101;Institut Ssupérieur Spécialisé en Informatique et en Gestion (ISSIG)
102;LTC Ampefiloha
103;institut superieur brillant school
104;CNTEMAD Ankadifotsy 
105;IEFPA ACEEM 
106;Le Flambeau de Madagasar
107;Ecole Supérieure Polytechnique D'Antananrivo
108;Ecole Supérieure Polytechnique D'Antananarivo
109;L. A. R. A
110;Aditech
111;E.C.A
112;Lycée Sainte Thérèse Andasibe Ampefy, ISM Advancea
113;lycée ampitatafika
114;ESTIIM’
115;ISM ADVENCEA
116;Lycée Privée Stella Maris (Toamasina)
117;
118;Ecole Supérieure Sacré Coeur Antanimena
119;Université de le Réunion
120;INSCO University
121;ny loharano
122;UPRIM
123;UNFPA
124;CNTMAD (Télé- enseignement) Ankadifotsy
125;ELIT
126;IMH
127;IESTIME Antaninandro
128;CFAC Saint François Xavier Antanimena
129;Top Info Manjakaray
130;Ecole Andrianarisoa
131;Lycée Saint Joseph Antsirabe
132;Tactinfo
133;Athénée Saint Joseph Antsirabe (ASJA)
134;ST FAMILLE MAHAMASINA
135;IPEC 
136;COLLEGE CHRIST ROI MANJAKARAY
137;ESNIG
138;Microsoft
139;Oracle Afrique
140;Oracle Suisse
141;Wall Street Institute 
142;EF International School of Languages
143;FAC DEGS TOLIARA
144;LYCEE ANTSOHIHY
145;ISCaMen
146;Centre Ecologique de Libanona Tolagnaro (CEL)
147;lycee prive zo hasina anosizato
148;inspnamad boeny
149;ISETS
150;BIT Formation
151;InSM
152;Lycée Technique RLG Manjakaray Antananarivo
153;Lycee privé Lorrier 
154;ICI
155;Université Tananarive 
156;IEF ACEEM
157;Le Petit Nid
158;ISSEG (Institut Supérieur en Science de l'Environnement et de Gestion
159;LYCEE ANDRE RESAMPA ANTSIRABE
160;Centre de formation et d'application du Machinisme Agricole
161;LTP Alarobia
162;ESPA Diego
163;Université Privée ACEEM ANTANANARIVO
164;universite privée E-tec
165;Faculté DEGS Ankatso Antananarivo
166;Arpège Beauty School / IPAC
167;Université Adventiste Zurcher
168;inspnmad
169;Université ACEEM
170;IST-D
171;Collège Saint Michel 
172;IMGAM/FSSP
173;ISF
174;IUM
175;LTC
176;Info Club Isoraka
177;Collège privé Laurier Andoharanofotsy
178;Collège privé La source Claire Andoharanofotsy
179;Université Mirail
180;Institut Supérieur Spécialiser en Informatique et en Gestion à Soavimbahoaka
181;Université de sciences sociales
182;ELI
183;collège
184;Institut Supérieur de Technologie d'Alaotra Mangoro
185;SOFT FORMATION ET DEVELOPPMENT
186;Lycée Razafindrabe Victorien 
187;collège saint joseph de cluny
188;collège saint françois xavier
189;alliance française Andavamamba
190;lycée le flambeau de madagascar 
191;faculté DEGS de l'université d'Ankatso
192;SEC
193;saint joseph mahamasina
194;ESCA
195;collège MGR Ramarosandratana 
196;ICAME(Insitut of car mecanic)
197;lycee privee ideal
198;Lycée Arcade
199;université d'Ankatso
200;Centre Don Bosco 
201;kentia
202;Institut Supérieur Polytechnique de Madagascar (ISPM)
203;IMGAM IVANDRY, Universite d'Antanarivo Ankatso
204;CEG Rue Radama
205;LTP privé Poincaré
206;Lycée privé ACEEM
207;Alpha school 
208;Agence Universitaire Francophone
209;CNEAGR NANISANA
210;LMA
211;lycée privé saint joseph
212;Colège FJKM Antanisoa Miarinarivo
213;Lycée Andoharanofotsy
214;universite Antananarivo- CNTEMAD- AS DES
215;UNIVERSITE D'ANTANANARIVO, CNTEMAD, ESDES
216;marovoay
217;MDF Isoraka
218;NILMARPROD
219;GRENE
220;Institut Universitaire de Madagascar
221;HECMMA
222;lycee privee RANAIVOSOA
223;ESMIA
224;CNAPS
225;M E D
226;UNIVERS INFO
227; Universite d'Antanarivo Ankatso
228;lycée Marovoay
229;Centre de formation
230;SINUS
231;MRE
232; CNTEMAD
233;ONG ACDM
234;Lycée privé moderne Ankaraobato
235;Département de la formation des techniciens supérieurs Alarobia
236;Lycée technique professionnel Alarobia
237;Ma-Vita
238;LABORO
239;Lycée privé Ranaivosoa
240;CPE
241;EFARC
242;GSI
243;Collège St Etienne Ambanidia
244;ESSVA Antsirabe
245;Lycée J.J Rabearivelo
246;KENTIA SARL
247;Groupe PIGIER
248;Lycée privé Stella Maris
249;USA
250;Lycée LRN
251;I-TECH
252;BMR Besarety
253;IS-IESI
254;CSPJ Tanjombato
255;Institut supérieur de l'entrepreneuriat et du commerce
256;Chambre de commerce de la France Ankorondrano
257;Isoraka
258;Collège St François Xavier
259;Universite d Antananarivo
260;Spoken English Course
261;Collège protestante 
262;ENI
263;Parc des Princes
264;English Language Institute
265;Ecole Nationale d'Informatique (ENI)
266;E-TEC
267;Centre de Formation en Electronique et Informatique
268;Lycée Jean Laborde Mantasoa
269;Saint Michel Itaosy
270;Cours ACEEM
271;Lycée St Antoine
272;Institut de Formation Technique
273;Cntemad / Uprim
274;SFX
275;Lycee Nanisana
276;ITEM
277;YOUTH FIRST
278;ONG dinika Union Europeenne
279;Conservatoire National des Arts et Métiers
280;Lycée Maria Manjaka
281;Lycée Raherivelo Ramamonjy
282;CFP E-Media
283;Saint Jean Bosco
284;ERD BEHORIRIKA
285;ISFC
286;Université Ankatso Antananarivo
287;ISSSG
288;Université de Tananarive
289;DIFP Université d’Antananarivo 
290;barika V
291;IS IESI Manjakaray
292;LTP Antsirabe
293;Lycée privé Antsiranana
294;Openclassrooms.com
295;lycee privee saint jean antsiranana
296;ESSCA Antanimena
297;Saint Louis Betafo
298;IT UNIVERSITY - Université de Nice Sophia Antipolis
299;EUROI
300;Institut de Leadership Chrétien
301;Lycée Sacré Coeur Anosia 
302;ICAM
303;Saint François Xavier
304;Institution Sainte Famille Mahamasina
305;ONG ACDM BEHORIRIKA
306;ICI ISORAKA
307;LYCEE PRIVE ANDRIANINA AMBOLOKANDRINA
308;Institut Supérieur de Technologie d'Antananarivo
309;Lycée Technique Commerciale Ampefiloha
310;med
311;ESSGaM
312;CEFOR
313;ankatso Antananarivo
314;Banque Mondiale de Madagascar
315;MDS CANADA
316;IUGM
317;Lycée privée Notre Dame
318;NDA Mahitsy
319;IFPA Aceem
320;Université privée de madagascar
321;University of PARIS XIII
322;University of BORDEAUX I
323;Lycée Michel Montaigne
324;Lycée Saint François Xavier
325;Lycée Français de Tamatave
326;Université de Picardie Jules Verne
327;Centra National du Télé-Enseignement de Madagascar
328;Ifen au Havre
329;INSCAE  67ha, Antananarivo 101
330;UNIECO - Formation à distance
331;Ecole des Frères Soavimbahoaka
332;Faculté DEGS Ankatso 
333;SHERRIT
334;NEWREST
335;PARAMEDIC SOS
